Borough,Location Name,Type,latitude,longitude,Rating,Overall Sentiment Score,Negative Score,Neutral Score,Positive Score,Main Issues,Emotion Keywords,Review Count,Unnamed: 0,LSOA
City of London,St. Paul's Cathedral,Tourist Attraction,51.51384530000001,-0.0983506,4.7,0.7524406890074412,0.0,0.2,0.8,"Noise, Atmosphere, Maintenance, Aesthetics, Traffic, General","safe (39), beautiful (36), gorgeous (18), elegant (9), tidy (9), great (9), stunning (9), calm (9), charming (9), perfect (9), quiet (3), flow (3), messy (3), good (3)",49922,,E01032739
City of London,Leadenhall Market,Tourist Attraction,51.51276600000001,-0.0835289,4.4,0.6140926440556844,0.0666666666666666,0.4,0.5333333333333333,"Cleanliness, Atmosphere, Maintenance, Aesthetics, General","great (27), safe (24), old (21), good (18), beautiful (18), modern (18), stunning (15), lively (9), perfect (9), maintained (9), noisy (3), walking (3), charming (3)",20160,,E01032739
City of London,Barbican Centre,Tourist Attraction,51.5202077,-0.0937863999999999,4.6,0.6431898752848307,0.0,0.4,0.6,"Aesthetics, Accessibility, General","good (39), great (27), fantastic (15), amazing (9), beautiful (9), stunning (9), near (3), cars (3), calm (3), cozy (3), tidy (3)",4287,,E01000002
City of London,Tower Bridge,Tourist Attraction,51.5054564,-0.0753564999999999,4.8,0.7276391347249349,0.0,0.1333333333333333,0.8666666666666667,"Cleanliness, Atmosphere, Maintenance, Aesthetics, Traffic, General","walking (24), stunning (18), amazing (18), fantastic (18), great (12), safe (9), cars (9), maintained (9), lively (9), wonderful (9), lovely (3), roomy (3), beautiful (3), charming (3), perfect (3), dark (3), dead (3), tidy (3)",170218,,
City of London,London Bridge,Tourist Attraction,51.5078788,-0.0877321,4.6,0.6137045363585154,0.0,0.8,0.2,"Accessibility, Noise, Atmosphere, Maintenance, Traffic, Aesthetics, General","safe (60), great (45), modern (36), walking (18), peaceful (18), new (18), near (15), buzzing (9), fantastic (9), old (9), stunning (9), beautiful (9), lovely (9), calm (9), far (9), music (9), elegant (9), easy (9), busy (9), parking (4), noisy (3), tidy (3)",58265,,
City of London,St Katharine Docks,Tourist Attraction,51.5064168,-0.0718167,4.7,0.7243801832199097,0.0,0.2,0.8,"Accessibility, Noise, Cleanliness, Atmosphere, Maintenance, Aesthetics, Traffic, General","beautiful (18), lovely (18), good (12), busy (9), difficult (9), walking (9), great (9), wonderful (9), quiet (9), modern (9), clean (9), safe (6), tidy (3), old (2)",6748,,E01004293
City of London,30 St Mary Axe (The Gherkin),Landmark,51.51449179999999,-0.0803064999999999,4.6,0.6755737821261089,0.0,0.4666666666666667,0.5333333333333333,"Maintenance, Aesthetics, Safety, General","great (45), stunning (18), old (18), safe (12), amazing (9), poor (9), disappointing (9), secure (9), security (9), beautiful (9), new (9), good (6), tidy (6), improved (6), walking (3)",5544,,E01032739
City of London,Temple Church,Tourist Attraction,51.5132637,-0.1102647,4.6,0.639310622215271,0.0,0.4,0.6,"Accessibility, Noise, Atmosphere, Aesthetics, General","beautiful (30), peaceful (27), safe (15), amazing (9), good (9), great (9), central (9), active (9), quiet (9), perfect (9), near (9), walking (6), convenient (3)",2663,,E01032740
City of London,Monument to the Great Fire of London,Tourist Attraction,51.510143,-0.0859419999999999,4.5,0.5966335078080495,0.0,0.4666666666666667,0.5333333333333333,"Noise, Atmosphere, Maintenance, Aesthetics, General","great (18), stunning (9), quiet (9), peaceful (9), safe (7), tidy (6), noisy (3)",12916,,E01032739
City of London,Somerset House,Tourist Attraction,51.511059,-0.1171479999999999,4.4,0.6902681946754455,0.2,0.0,0.8,"Accessibility, Comfort, Atmosphere, Aesthetics, General","beautiful (27), great (9), central (9), crowded (9), stunning (9), welcoming (6), tidy (6), messy (3), safe (3)",1669,,E01004735
