LSOA,Avg_Sentiment_Score,Place_Count,Sentiment_Std,Most_Common_Category,Avg_Rating,Total_Reviews
E01000765,0.537,19,0.261,Positive,3.889,603
E01000766,0.763,1,,Very Positive,4.3,17
E01000767,0.581,3,0.067,Neutral,4.533,131
E01000768,0.347,2,0.491,Positive,4.4,21
E01000769,0.381,5,0.352,Very Negative,4.26,405
E01000770,0.602,1,,Positive,4.6,3699
E01000771,0.553,6,0.028,Neutral,3.833,1525
E01000772,0.827,1,,Very Positive,3.0,72
E01000773,0.437,1,,Negative,4.1,121
E01000774,0.453,3,0.393,Positive,3.0,990
E01000775,0.609,3,0.103,Neutral,3.467,172
E01000777,0.653,1,,Positive,4.6,22
E01000779,0.649,6,0.127,Positive,4.45,134
E01000780,0.562,1,,Neutral,4.2,29
E01000782,0.372,1,,Very Negative,4.7,3
E01000783,0.477,3,0.113,Negative,4.367,93
E01000784,0.517,1,,Neutral,4.1,17
E01000785,0.579,2,0.259,Very Negative,4.8,68
E01000790,0.607,4,0.112,Negative,4.125,3388
E01000797,0.376,5,0.356,Very Negative,4.14,639
E01000798,0.643,3,0.099,Neutral,4.167,64
E01000799,0.565,5,0.092,Neutral,3.96,821
E01000801,0.664,1,,Positive,4.7,107
E01000804,0.691,2,0.233,Neutral,4.5,52
E01000805,0.752,1,,Very Positive,4.8,28
E01000806,0.558,1,,Neutral,4.9,20
E01000807,0.523,2,0.028,Neutral,3.75,32
E01000809,0.699,1,,Positive,4.7,29
E01000810,0.241,1,,Very Negative,4.0,1
E01000812,0.61,1,,Positive,4.6,65
E01000813,0.614,1,,Positive,4.2,17
E01000815,0.541,1,,Neutral,4.5,162
E01000816,0.604,1,,Positive,3.5,2
E01000819,0.652,10,0.134,Neutral,4.3,415
E01000820,0.525,4,0.135,Negative,4.9,80
E01000822,0.617,2,0.431,Very Negative,4.7,144
E01000823,0.51,1,,Neutral,4.0,1
E01000824,0.769,2,0.256,Neutral,4.8,50
E01000825,0.463,6,0.276,Very Negative,4.5,58
E01000826,0.621,5,0.21,Very Positive,4.62,95
E01000828,0.642,3,0.069,Neutral,4.233,29
E01000829,0.824,2,0.009,Very Positive,5.0,26
E01000831,0.708,4,0.148,Positive,4.475,45
E01000832,0.797,1,,Very Positive,2.3,3
E01000833,0.817,1,,Very Positive,5.0,18
E01000834,0.869,1,,Very Positive,5.0,1
E01000835,0.466,5,0.097,Negative,3.7,73
E01000837,0.663,4,0.064,Positive,4.6,311
E01000838,0.7,1,,Positive,5.0,6
E01000840,0.586,2,0.173,Negative,4.55,388
E01000841,0.534,3,0.026,Neutral,4.3,94
E01000842,0.333,1,,Very Negative,5.0,1
E01000844,0.636,1,,Positive,4.2,78
E01000849,0.782,1,,Very Positive,5.0,1
E01000850,0.612,6,0.07,Neutral,4.317,1160
E01000851,0.502,8,0.221,Neutral,3.675,2087
E01000852,0.623,8,0.149,Very Positive,4.325,1791
E01000853,0.75,2,0.103,Positive,4.1,6313
E01000854,0.614,13,0.211,Positive,4.162,3922
E01000855,0.63,13,0.09,Neutral,4.4,176055
E01000858,0.737,2,0.111,Positive,3.3,8800
E01000859,0.0,1,,Very Negative,5.0,1
E01000861,0.673,2,0.07,Positive,4.3,112
E01000862,0.495,1,,Negative,4.5,4
E01000863,0.594,5,0.059,Neutral,4.48,1180
E01000865,0.818,1,,Very Positive,5.0,7
E01000867,0.482,1,,Negative,4.3,4
E01000871,0.592,1,,Neutral,4.5,37
E01000872,0.0,1,,Very Negative,5.0,3
E01000877,0.792,1,,Very Positive,4.4,58
E01000879,0.726,2,0.159,Positive,5.0,3
E01000883,0.562,1,,Neutral,4.7,1677
E01000892,0.341,2,0.482,Positive,4.85,91
E01000893,0.58,4,0.12,Negative,4.725,85
E01000894,0.631,1,,Positive,4.4,178
E01000895,0.585,4,0.404,Very Positive,4.575,763
E01000896,0.501,1,,Neutral,4.5,419
E01000897,0.635,1,,Positive,4.8,140
E01000898,0.581,2,0.085,Neutral,3.7,1565
E01000899,0.666,4,0.098,Very Positive,4.475,572
E01000900,0.673,1,,Positive,4.8,13
E01000906,0.677,1,,Positive,4.1,82
E01000909,0.427,1,,Negative,4.3,4
E01000912,0.485,5,0.279,Neutral,4.66,19908
E01000913,0.56,9,0.213,Positive,4.356,8353
E01000914,0.687,12,0.132,Positive,4.158,7240
E01000916,0.583,3,0.16,Negative,4.867,648
E01000918,0.726,5,0.083,Positive,3.74,3211
E01000919,0.624,5,0.088,Neutral,4.4,9210
E01000920,0.752,2,0.152,Positive,3.9,2402
E01000921,0.509,1,,Neutral,3.7,116
E01000923,0.611,1,,Positive,5.0,1
E01000927,0.511,1,,Neutral,4.7,3
E01000928,0.427,1,,Negative,5.0,6
