LSOA_CODE,AvgPrice,MeanPTAL,MedianPTAL,Population,Area_km2,MeanSentiment,SentimentSD,ReviewCount,NearestStation_m,StationsWithin500m,NearestRail_m,StreetLength_m,StreetDensity_m_per_m2,StreetSegments,LandUse_Diversity,LandUse_Area
E01003989,352500.0,10.258317140459798,11.051964453340936,1727.0,0.2452845777665226,0.6096526286724775,0.006,1905.1180905429203,75.31419720188937,16,798.1632107551654,2208.171244831857,0.00900596078872,36,5,217628.9872135611
E01003990,557500.0,10.111520445529957,10.550561167427734,1802.0,0.1429873128646174,0.5952789690537379,0.006,26.959240314626104,155.43578617828362,14,1134.6001948915275,2008.2136795912977,0.0140448461212075,25,7,145306.66981797747
E01003991,457000.0,19.542971885916465,22.63833635958235,1346.0,0.0788849147525521,0.6868201540448258,0.284,3254.406571557118,160.2174120063268,24,199.01900349094691,858.0015727515308,0.0108756128856039,16,2,71623.8582420696
E01003992,525000.0,19.284815951502267,21.5126556011565,1597.0,0.0732847655734354,0.6285412267405759,0.212018721510325,116.22351985510524,166.43698862409855,20,286.14273607285065,1074.1384589355318,0.0145744881604336,22,3,62835.93031921603
E01003993,400000.0,16.908582931644176,18.234517912102177,1660.0,0.0859318938057241,0.578,0.126,18.0,100.80460158521755,20,507.7598577911791,748.9858058031351,0.0087252096287186,15,3,66043.77575797206
E01003994,575000.0,34.76264214216165,35.69473112750763,1465.0,0.1417642770529031,0.744,0.1220623865968769,290.0,90.80844436478154,25,193.5904938100197,1825.135368471651,0.0129180439584628,33,4,79615.85421179411
E01003995,455000.0,42.277710494794015,44.11597948199952,1581.0,0.0642683444692824,0.6680299430376327,0.1004499669006174,7782.527240343296,190.3608716955564,23,187.5872282254151,852.4062646909658,0.0132631653769173,15,4,63366.62442178863
E01003997,482500.0,24.47749707498025,24.53230254352567,1260.0,0.0758431321954072,0.60069480728098,0.1174980694256226,1746.9356389385118,127.5533434599772,22,157.74086487437987,1348.4849075022155,0.0176701922606106,20,3,59370.711839759875
E01003998,495000.0,32.831973745552574,29.725166508968965,1379.0,0.0935620089058782,0.598,0.1049410598911547,109.0,116.05742260005536,21,96.28065146245416,1676.0318791987213,0.0179134072981818,27,5,80111.42179835982
E01003999,360000.0,21.271163389074324,22.01687560928204,1545.0,0.0882387164077019,0.632061459790729,0.1946637955121198,3731.094799152842,202.80009080885975,14,350.059927525469,1106.7836844944406,0.0125779525427172,25,3,73922.95813672604
E01004000,615000.0,11.072450741289655,10.350223748716504,1777.0,0.1622348626704556,0.5114304500030182,0.0675,51.55435035815768,60.786621805969425,16,157.58541799161603,2510.942677825515,0.0154746712133352,42,2,151534.01337125865
E01004001,533896.0,7.921958506151565,7.877361242888129,1658.0,0.1953906423256764,0.5812872716437556,0.0675,91.5776030452298,253.76794183188892,15,419.2122080266859,1687.9733977666583,0.0086402520793521,26,5,246305.28884599824
E01004002,870500.0,7.105216317927236,7.201054693480343,1605.0,0.3373151397690089,0.574,0.131,173.0,143.47449395885806,16,296.2223458875016,2813.2867677145855,0.0083401917511032,24,4,499323.13110040023
E01004003,335000.0,18.848993342181323,19.122328349417685,1626.0,0.1262045466523984,0.6567109414368747,0.132,52.47647249835107,199.3486421969108,18,254.6118176309267,1191.3414183536347,0.0094399145479885,10,3,113331.54057457949
E01004004,640000.0,20.15707023228772,19.711442598495175,1658.0,0.1958781948818299,0.6365458527333251,0.0956829444421913,108.41763567679251,116.82832103949964,12,193.06602238522743,2157.7732124803397,0.0110158188437429,34,3,191184.4217797893
E01004005,450000.0,22.335133513738604,21.33397498727674,1488.0,0.1536361814529573,0.4867972370370586,0.005,159.31768533388706,181.66413815143255,17,122.48436095460076,1079.8178290551134,0.0070274316505205,22,6,148347.53440435903
E01004006,743750.0,14.962808360111948,15.74633100602172,1676.0,0.1513249984939361,0.5603142194634564,0.0675,106.76776479547968,211.1947221672424,14,219.70214574699364,2578.547690259984,0.017039802007998,38,4,151953.12132009867
